,Biomass,Fossil Gas,Fossil Hard coal,Hydro Run-of-river and poundage,Nuclear,Other,Solar,Waste,Wind Offshore,Wind Onshore
2023-10-01 00:00:00+00:00,23,2044,1030,0,474,1369,0,235,1131,659
2023-10-01 00:15:00+00:00,23,1913,1020,0,474,1414,0,230,1158,730
2023-10-01 00:30:00+00:00,23,1836,1012,0,474,1439,0,225,1048,773
2023-10-01 00:45:00+00:00,23,1754,1002,0,474,1432,0,226,969,782
2023-10-01 01:00:00+00:00,24,1661,962,0,474,1443,0,228,1002,824
2023-10-01 01:15:00+00:00,24,1535,943,0,474,1484,0,226,1039,867
2023-10-01 01:30:00+00:00,23,1453,944,0,474,1483,0,228,1063,918
2023-10-01 01:45:00+00:00,24,1380,942,0,474,1448,0,230,1075,932
2023-10-01 02:00:00+00:00,23,1484,941,0,475,1424,0,232,1127,912
2023-10-01 02:15:00+00:00,24,1488,942,0,474,1430,0,229,1145,880
2023-10-01 02:30:00+00:00,24,1490,942,0,474,1455,0,235,1151,863
2023-10-01 02:45:00+00:00,23,1451,942,0,474,1484,0,230,1150,835
2023-10-01 03:00:00+00:00,23,1517,942,0,474,1532,0,228,1184,833
2023-10-01 03:15:00+00:00,24,1585,942,0,474,1560,0,226,1233,845
2023-10-01 03:30:00+00:00,23,1548,944,0,474,1583,0,222,1257,834
2023-10-01 03:45:00+00:00,23,1548,954,0,474,1683,0,222,1263,806
2023-10-01 04:00:00+00:00,23,1586,955,0,474,1742,0,222,1301,781
2023-10-01 04:15:00+00:00,22,1578,959,0,474,1749,0,225,1362,771
2023-10-01 04:30:00+00:00,23,1557,973,0,474,1801,0,223,1374,791
2023-10-01 04:45:00+00:00,23,1523,977,0,474,1844,0,225,1332,808
2023-10-01 05:00:00+00:00,22,1491,977,0,474,1918,0,227,1382,830
2023-10-01 05:15:00+00:00,21,1502,978,0,474,1963,0,228,1398,823
2023-10-01 05:30:00+00:00,20,1583,976,0,474,2032,0,225,1363,765
2023-10-01 05:45:00+00:00,20,1636,982,0,474,2136,0,230,1298,748
2023-10-01 06:00:00+00:00,20,1539,1016,0,474,2246,1,229,1242,760
2023-10-01 06:15:00+00:00,21,1423,1074,0,474,2377,6,225,1280,763
2023-10-01 06:30:00+00:00,21,1285,1066,0,474,2594,12,224,1334,784
2023-10-01 06:45:00+00:00,21,1220,1061,0,474,2909,23,224,1341,786
2023-10-01 07:00:00+00:00,21,1366,1060,0,474,3416,37,226,1286,771
2023-10-01 07:15:00+00:00,22,1221,1045,0,474,3809,41,223,1314,744
2023-10-01 07:30:00+00:00,22,1168,993,0,474,4243,57,221,1291,734
2023-10-01 07:45:00+00:00,23,1192,922,0,474,4617,62,225,1227,706
2023-10-01 08:00:00+00:00,23,1172,816,0,474,5042,68,226,1352,686
2023-10-01 08:15:00+00:00,22,1194,784,0,474,5511,68,228,1396,700
2023-10-01 08:30:00+00:00,23,1119,764,0,474,5997,98,231,1384,692
2023-10-01 08:45:00+00:00,23,1048,760,0,474,6522,128,228,1357,692
2023-10-01 09:00:00+00:00,23,1077,752,0,474,7045,135,218,1381,741
2023-10-01 09:15:00+00:00,23,1076,752,0,474,7446,188,221,1373,678
2023-10-01 09:30:00+00:00,23,1022,748,0,474,7876,206,221,1469,653
2023-10-01 09:45:00+00:00,23,960,728,0,474,8056,224,218,1485,659
2023-10-01 10:00:00+00:00,23,972,698,0,474,8523,191,215,1500,694
2023-10-01 10:15:00+00:00,24,998,683,0,474,8872,215,215,1495,717
2023-10-01 10:30:00+00:00,24,964,692,0,474,8897,206,217,1418,691
2023-10-01 10:45:00+00:00,24,949,694,0,474,9038,180,215,1433,678
2023-10-01 11:00:00+00:00,24,986,684,0,474,9203,139,216,1553,738
2023-10-01 11:15:00+00:00,24,960,679,0,474,9333,162,215,1470,821
2023-10-01 11:30:00+00:00,24,936,681,0,474,9352,169,219,1461,861
2023-10-01 11:45:00+00:00,24,960,679,0,474,9287,165,240,1471,916
2023-10-01 12:00:00+00:00,24,946,679,0,474,8938,186,242,1510,922
2023-10-01 12:15:00+00:00,24,943,676,0,474,8878,178,241,1557,979
2023-10-01 12:30:00+00:00,24,973,677,0,474,8730,171,247,1509,998
2023-10-01 12:45:00+00:00,24,1019,676,0,474,8538,169,244,1403,976
2023-10-01 13:00:00+00:00,24,985,675,0,474,8000,136,239,1309,979
