,Biomass,Fossil Gas,Fossil Hard coal,Hydro Run-of-river and poundage,Nuclear,Other,Solar,Waste,Wind Offshore,Wind Onshore
2023-04-01 00:00:00+00:00,0,807,1453,0,121,1859,0,359,1551,716
2023-04-01 00:15:00+00:00,0,828,1432,0,90,1786,0,366,1512,726
2023-04-01 00:30:00+00:00,0,810,1434,0,82,1792,0,363,1492,726
2023-04-01 00:45:00+00:00,0,797,1443,0,3,1792,0,363,1542,743
2023-04-01 01:00:00+00:00,0,789,1436,0,0,1779,0,354,1582,759
2023-04-01 01:15:00+00:00,0,787,1441,0,0,1786,0,350,1634,745
2023-04-01 01:30:00+00:00,0,784,1436,0,0,1758,0,357,1726,735
2023-04-01 01:45:00+00:00,0,784,1432,0,0,1782,0,346,1771,723
2023-04-01 02:00:00+00:00,0,881,1438,0,0,1824,0,353,1824,758
2023-04-01 02:15:00+00:00,0,809,1448,0,0,1868,0,351,1906,788
2023-04-01 02:30:00+00:00,0,787,1448,0,0,1870,0,352,2007,794
2023-04-01 02:45:00+00:00,0,776,1444,0,0,1916,0,352,2044,791
2023-04-01 03:00:00+00:00,0,793,1438,0,0,1933,0,341,2068,786
2023-04-01 03:15:00+00:00,0,809,1438,0,0,1987,0,339,2013,809
2023-04-01 03:30:00+00:00,0,864,1450,0,0,2014,0,345,2024,833
2023-04-01 03:45:00+00:00,0,826,1450,0,0,2062,0,350,2067,806
2023-04-01 04:00:00+00:00,0,867,1455,0,0,2146,0,355,2158,836
2023-04-01 04:15:00+00:00,0,903,1455,0,0,2186,0,358,2217,844
2023-04-01 04:30:00+00:00,0,894,1454,0,0,2143,0,350,2256,824
2023-04-01 04:45:00+00:00,0,903,1462,0,0,2185,0,356,2264,876
2023-04-01 05:00:00+00:00,0,971,1491,0,0,2284,0,363,2194,894
2023-04-01 05:15:00+00:00,0,968,1513,0,0,2401,1,351,2096,899
2023-04-01 05:30:00+00:00,0,934,1547,0,0,2470,2,349,1961,920
2023-04-01 05:45:00+00:00,0,918,1586,0,0,2613,6,349,1921,920
2023-04-01 06:00:00+00:00,0,938,1659,0,0,2771,16,348,1934,944
2023-04-01 06:15:00+00:00,0,919,1699,0,0,2913,23,346,1936,977
2023-04-01 06:30:00+00:00,0,932,1781,0,0,2999,31,353,1937,955
2023-04-01 06:45:00+00:00,0,882,1879,0,0,3095,43,360,1981,911
2023-04-01 07:00:00+00:00,0,827,1995,0,0,3178,52,364,1980,914
2023-04-01 07:15:00+00:00,0,827,2015,0,0,3268,58,366,2004,920
2023-04-01 07:30:00+00:00,0,797,2018,0,0,3383,65,372,2038,944
2023-04-01 07:45:00+00:00,0,756,1993,0,0,3386,71,365,2025,933
2023-04-01 08:00:00+00:00,0,843,1936,0,0,3647,68,373,2011,950
2023-04-01 08:15:00+00:00,0,791,1897,0,0,3670,75,366,1961,945
2023-04-01 08:30:00+00:00,0,783,1873,0,0,3724,84,366,1923,984
2023-04-01 08:45:00+00:00,0,802,1846,0,0,3844,81,373,1886,964
2023-04-01 09:00:00+00:00,0,856,1738,0,0,4028,96,370,1838,969
2023-04-01 09:15:00+00:00,0,804,1675,0,0,4141,97,371,1791,1013
2023-04-01 09:30:00+00:00,0,838,1567,0,0,4224,97,368,1762,1013
2023-04-01 09:45:00+00:00,0,810,1490,0,0,4379,99,368,1751,988
2023-04-01 10:00:00+00:00,0,928,1308,0,0,4478,85,376,1728,993
2023-04-01 10:15:00+00:00,0,834,1298,0,0,4655,96,372,1737,1019
2023-04-01 10:30:00+00:00,0,793,1268,0,0,4748,102,376,1752,1043
2023-04-01 10:45:00+00:00,0,812,1238,0,0,4580,81,374,1753,1054
2023-04-01 11:00:00+00:00,0,830,1243,0,0,4573,83,373,1762,1094
2023-04-01 11:15:00+00:00,0,792,1269,0,0,4674,85,373,1752,1098
2023-04-01 11:30:00+00:00,0,759,1276,0,0,4552,96,374,1774,1141
2023-04-01 11:45:00+00:00,0,755,1271,0,0,4402,80,365,1780,1140
2023-04-01 12:00:00+00:00,0,810,1229,0,0,4318,81,372,1800,1201
2023-04-01 12:15:00+00:00,0,808,1185,0,0,4286,79,370,1804,1225
2023-04-01 12:30:00+00:00,0,769,1181,0,0,4277,72,371,1824,1255
2023-04-01 12:45:00+00:00,0,745,1177,0,0,4222,73,371,1848,1339
2023-04-01 13:00:00+00:00,0,740,1182,0,0,4214,75,368,1886,1432
2023-04-01 13:15:00+00:00,0,734,1170,0,0,4193,70,368,1978,1414
2023-04-01 13:30:00+00:00,0,752,1138,0,0,4141,67,370,2074,1414
2023-04-01 13:45:00+00:00,0,786,1143,0,0,4068,64,372,2183,1408
2023-04-01 14:00:00+00:00,0,782,1169,0,0,3990,57,359,2267,1399
2023-04-01 14:15:00+00:00,0,800,1225,0,0,3992,53,354,2302,1428
2023-04-01 14:30:00+00:00,0,813,1264,0,0,3967,54,359,2299,1463
2023-04-01 14:45:00+00:00,0,924,1295,0,0,4008,52,358,2280,1474
2023-04-01 15:00:00+00:00,0,877,1332,0,0,4066,46,359,2086,1460
