,quantity
2021-11-01 00:00:00+00:00,1015
2021-11-01 00:15:00+00:00,944
2021-11-01 00:30:00+00:00,910
2021-11-01 00:45:00+00:00,879
2021-11-01 01:00:00+00:00,819
2021-11-01 01:15:00+00:00,808
2021-11-01 01:30:00+00:00,807
2021-11-01 01:45:00+00:00,827
2021-11-01 02:00:00+00:00,1031
2021-11-01 02:15:00+00:00,1047
2021-11-01 02:30:00+00:00,1024
2021-11-01 02:45:00+00:00,1001
2021-11-01 03:00:00+00:00,1218
2021-11-01 03:15:00+00:00,1254
2021-11-01 03:30:00+00:00,1249
2021-11-01 03:45:00+00:00,1252
2021-11-01 04:00:00+00:00,1312
2021-11-01 04:15:00+00:00,1322
2021-11-01 04:30:00+00:00,1317
2021-11-01 04:45:00+00:00,1255
2021-11-01 05:00:00+00:00,953
2021-11-01 05:15:00+00:00,915
2021-11-01 05:30:00+00:00,901
2021-11-01 05:45:00+00:00,893
2021-11-01 06:00:00+00:00,749
2021-11-01 06:15:00+00:00,764
2021-11-01 06:30:00+00:00,839
2021-11-01 06:45:00+00:00,898
2021-11-01 07:00:00+00:00,1449
2021-11-01 07:15:00+00:00,1573
2021-11-01 07:30:00+00:00,1466
2021-11-01 07:45:00+00:00,1422
2021-11-01 08:00:00+00:00,1381
2021-11-01 08:15:00+00:00,1166
2021-11-01 08:30:00+00:00,1153
2021-11-01 08:45:00+00:00,1107
2021-11-01 09:00:00+00:00,1032
2021-11-01 09:15:00+00:00,999
2021-11-01 09:30:00+00:00,949
2021-11-01 09:45:00+00:00,915
2021-11-01 10:00:00+00:00,881
2021-11-01 10:15:00+00:00,842
2021-11-01 10:30:00+00:00,646
2021-11-01 10:45:00+00:00,493
2021-11-01 11:00:00+00:00,519
2021-11-01 11:15:00+00:00,527
2021-11-01 11:30:00+00:00,497
2021-11-01 11:45:00+00:00,513
2021-11-01 12:00:00+00:00,541
2021-11-01 12:15:00+00:00,562
2021-11-01 12:30:00+00:00,522
2021-11-01 12:45:00+00:00,543
2021-11-01 13:00:00+00:00,470
2021-11-01 13:15:00+00:00,456
2021-11-01 13:30:00+00:00,441
2021-11-01 13:45:00+00:00,388
2021-11-01 14:00:00+00:00,435
2021-11-01 14:15:00+00:00,761
2021-11-01 14:30:00+00:00,889
2021-11-01 14:45:00+00:00,1031
2021-11-01 15:00:00+00:00,1158
2021-11-01 15:15:00+00:00,1473
2021-11-01 15:30:00+00:00,1687
2021-11-01 15:45:00+00:00,1468
