,quantity
2018-10-31 00:00:00+00:00,655
2018-10-31 01:00:00+00:00,1409
2018-10-31 02:00:00+00:00,1680
2018-10-31 03:00:00+00:00,1110
2018-10-31 04:00:00+00:00,87
2018-10-31 05:00:00+00:00,0
2018-10-31 06:00:00+00:00,0
2018-10-31 07:00:00+00:00,0
2018-10-31 08:00:00+00:00,0
2018-10-31 09:00:00+00:00,0
2018-10-31 10:00:00+00:00,0
2018-10-31 11:00:00+00:00,0
2018-10-31 12:00:00+00:00,0
2018-10-31 13:00:00+00:00,0
2018-10-31 14:00:00+00:00,0
2018-10-31 15:00:00+00:00,0
2018-10-31 16:00:00+00:00,1229
2018-10-31 17:00:00+00:00,2017
2018-10-31 18:00:00+00:00,2017
2018-10-31 19:00:00+00:00,2016
2018-10-31 20:00:00+00:00,1978
2018-10-31 21:00:00+00:00,2017
2018-10-31 22:00:00+00:00,1406
2018-10-31 23:00:00+00:00,2017
2018-11-01 00:00:00+00:00,2017
2018-11-01 01:00:00+00:00,2018
2018-11-01 02:00:00+00:00,2017
2018-11-01 03:00:00+00:00,2016
2018-11-01 04:00:00+00:00,2016
2018-11-01 05:00:00+00:00,2016
2018-11-01 06:00:00+00:00,2016
2018-11-01 07:00:00+00:00,2017
2018-11-01 08:00:00+00:00,2016
2018-11-01 09:00:00+00:00,2016
2018-11-01 10:00:00+00:00,2016
2018-11-01 11:00:00+00:00,2017
2018-11-01 12:00:00+00:00,2016
2018-11-01 13:00:00+00:00,2017
2018-11-01 14:00:00+00:00,2017
2018-11-01 15:00:00+00:00,2017
2018-11-01 16:00:00+00:00,2017
2018-11-01 17:00:00+00:00,2016
2018-11-01 18:00:00+00:00,2016
2018-11-01 19:00:00+00:00,2017
2018-11-01 20:00:00+00:00,2017
2018-11-01 21:00:00+00:00,2016
2018-11-01 22:00:00+00:00,2017
2018-11-01 23:00:00+00:00,1964
2018-11-02 00:00:00+00:00,1914
2018-11-02 01:00:00+00:00,1913
2018-11-02 02:00:00+00:00,1913
2018-11-02 03:00:00+00:00,1914
2018-11-02 04:00:00+00:00,1913
2018-11-02 05:00:00+00:00,1840
2018-11-02 06:00:00+00:00,1651
2018-11-02 07:00:00+00:00,1180
2018-11-02 08:00:00+00:00,1842
2018-11-02 09:00:00+00:00,1663
2018-11-02 10:00:00+00:00,596
2018-11-02 11:00:00+00:00,35
