from_cty,to_cty
BE,DE
BE,FR
BE,LU
BE,NL
BE,UK
DE,BE
FR,BE
LU,BE
NL,BE
UK,BE
DK,DE
DK,NL
DK,NO
DK,SE
DK,UK
DE,DK
NL,DK
NO,DK
SE,DK
UK,DK
DE,AT
DE,BE
DE,CH
DE,CZ
DE,DK
DE,FR
DE,LU
DE,NL
DE,NO
DE,PL
DE,SE
AT,DE
BE,DE
CH,DE
CZ,DE
DK,DE
FR,DE
LU,DE
NL,DE
NO,DE
PL,DE
SE,DE
FR,BE
FR,CH
FR,DE
FR,ES
FR,IT
FR,UK
BE,FR
CH,FR
DE,FR
ES,FR
IT,FR
UK,FR
NL,BE
NL,DE
NL,DK
NL,NO
NL,UK
BE,NL
DE,NL
DK,NL
NO,NL
UK,NL
NO,DE
NO,DK
NO,FI
NO,NL
NO,SE
NO,UK
DE,NO
DK,NO
FI,NO
NL,NO
SE,NO
UK,NO
UK,BE
UK,DK
UK,FR
UK,IE
UK,NL
UK,NO
BE,UK
DK,UK
FR,UK
IE,UK
NL,UK
NO,UK
